#: :filename=/home/mvazquezg/.rbbt/tmp/9789965#:type=:double
#MCLP TSV names	Protein	Genes	Status	Origin	Source	Catalog Number	Previously annotated	Modification	Correlation	Comment
1433BETA	14-3-3-beta	YWHAB	Validated as ELISA	Rabbit	Santa Cruz	sc-628		
1433EPSILON	14-3-3-epsilon	YWHAE	Use with Caution	Mouse	Santa Cruz	sc-23957		
1433SIGMA								
1433ZETA	14-3-3-zeta	YWHAZ	Validated as ELISA	Rabbit	Santa Cruz	sc-1019		
4EBP1	4E-BP1	EIF4EBP1	Validated as ELISA	Rabbit	CST	9452		
4EBP1_pS65	4E-BP1_pS65	EIF4EBP1	Validated as ELISA	Rabbit	CST	9456	-1	pS65	-1
4EBP1_pT37T46	4E-BP1_pT37_T46	EIF4EBP1	Validated as ELISA	Rabbit	CST	9459	-1	pT37T46	-1	https://www.cellsignal.com/products/primary-antibodies/phospho-4e-bp1-thr37-46-antibody/9459	Translation by eIF4E inhibited when bound to 4EBP1
4EBP1_pT70							-1	pT70	-1	https://www.cellsignal.com/products/primary-antibodies/phospho-4e-bp1-thr37-46-antibody/9459	Translation by eIF4E inhibited when bound to 4EBP1
53BP1	53BP1	TP53BP1	Validated as ELISA	Rabbit	CST	4937	0	
ACC1	ACC1	ACACA	Use with Caution	Rabbit	Abcam	ab45174	0	
ACC_pS79	ACC_pS79	ACACA|ACACB	Validated as ELISA	Rabbit	CST	3661	-1	pS79	-1
ACETYLATUBULINLYS40	Acetyl-a-Tubulin-Lys40	TUBA1B	Use with Caution	Rabbit	CST	5335		
ACVRL1	ACVRL1	ACVRL1	Use with Caution	Rabbit	Abcam	ab108207	0	
ADAR1	ADAR1	ADAR	Validated as ELISA	Mouse	Abcam	ab88574		
AIB1								
AKT	Akt	AKT1|AKT2|AKT3	Validated as ELISA	Rabbit	CST	4691	0	
AKT_pS473	Akt_pS473	AKT1|AKT2|AKT3	Validated as ELISA	Rabbit	CST	9271	1	pS473	1
AKT_pT308	Akt_pT308	AKT1|AKT2|AKT3	Validated as ELISA	Rabbit	CST	2965	1	pT308	1
ALPHACATENIN	alpha-Catenin	CTNNA1	Validated as ELISA	Mouse	Calbiochem	CA1030		
ALPHATUBULIN								
AMPKALPHA	AMPK-alpha	PRKAA1	Use with Caution	Rabbit	CST	2532		
AMPK_pT172	AMPK_pT172	PRKAA1	Validated as ELISA	Rabbit	CST	2535	1	pT172	1
ANNEXIN1	Annexin-1	ANXA1	Use with Caution	Mouse	BD Transduction	610066	0	
ANNEXINVII	Annexin-VII	ANXA7	Validated as ELISA	Mouse	BD Biosciences	610668		
AR	AR	AR	Validated as ELISA	Rabbit	Abcam	ab52615	0	
ARAF	A-Raf	ARAF	Validated as ELISA	Rabbit	CST	4432		
ARAF_pS299	A-Raf_pS299	ARAF	Use with Caution	Rabbit	CST	4431	1	pS299	1
ARID1A	ARID1A	ARID1A	Use with Caution	Rabbit	Sigma-Aldrich	HPA005456	0	
ASNS	ASNS	ASNS	Validated as ELISA	Rabbit	Sigma	HPA029318		
ATM	ATM	ATM	Validated as ELISA	Rabbit	CST	2873	0	
ATM_pS1981	ATM_pS1981	ATM	Validated as ELISA	Rabbit	CST	5883		pS1981	1	https://www.cellsignal.com/products/primary-antibodies/phospho-atm-ser1981-d6h9-rabbit-mab/5883	"Activation of ATM by autophosphorylation on Ser1981 occurs in response to exposed DNA double stranded breaks."
ATP5A	ATP5A	ATP5A	Use with Caution	Mouse	Abcam	ab14748		
ATP5H	ATP5H	ATP5H	Use with Caution	Mouse	Abcam	ab110275		
ATR	ATR	ATR	Use with Caution	Rabbit	CST	2790		
ATRIP	ATRIP	ATRIP	Use with Caution	Rabbit	CST	2737		
ATR_pS428	ATR_pS428	ATR	Use with Caution	Rabbit	Abcam	ab178407		pS428	1	http://www.abcam.com/atr-phospho-s428-antibody-epr2184-ab178407.html	"Phosphorylation of ATR at serine 428 in response to UV-induced DNA damage has been suggested as a means of activating ATR (4|5)" - https://www.cellsignal.com/products/primary-antibodies/phospho-atr-ser428-antibody/2853
AURORAB	Aurora-B	AIM1	Validated as ELISA	Rabbit	CST	3094		
AXL	Axl	AXL	Validated as ELISA	Rabbit	CST	8661		
BACTI								
BACTIN	b-Actin	ACTB	Use with Caution	Rabbit	CST	4970		
BAD_pS112	Bad_pS112	BAD	Validated as ELISA	Rabbit	CST	9291	-1	pS112	-1
BAK	Bak	BAK1	Use with Caution	Rabbit	Abcam	ab32371	0	
BAP1	BAP1	BAP1	Validated as ELISA	Mouse	Santa Cruz	sc-28383		
BAP1C4	Bap1-c-4	BAP1	Use with Caution	Rabbit	Alomine	APC-125		
BAX	Bax	BAX	Validated as ELISA	Rabbit	CST	2772	0	
BCATENIN_pT41S45	b-Catenin_pT41_S45	CTNNB1	Validated as ELISA	Rabbit	CST	9565		pT41S45	-1	https://www.cellsignal.com/products/primary-antibodies/phospho-b-catenin-thr41-ser45-antibody/9565	"CK1 phosphorylates β-catenin at Ser45. This phosphorylation event primes β-catenin for subsequent phosphorylation by GSK-3β (4-6). GSK-3β destabilizes β-catenin by phosphorylating it at Ser33|Ser37|and Thr41 (7). Mutations at these sites result in the stabilization of β-catenin protein levels and have been found in many tumor cell lines (8)." - https://www.cellsignal.com/products/primary-antibodies/phospho-b-catenin-thr41-ser45-antibody/9565	"S45 mutants of beta-catenin have been identified in colorectal and hepatocellular carcinomas|soft tissue cancer and Wilms Tumors|among others (reviewed in Polakis|2000). These mutations abolish the CK1alpha phosphorylation site of beta-catenin which acts as a critical priming site for GSK3 phosphorylation of T41( and subsequently S37 and S33) thus preventing its ubiquitin-mediated degradation " - http://www.reactome.org/content/detail/5358751
BCL2	Bcl2	BCL2	Validated as ELISA	Mouse	Dako	M0887		
BCL2A1	Bcl2A1	BCL2A1	Validated as ELISA	Rabbit	Abnova	PAB8528		
BCL6								
BCLXL	Bcl-xL	BCL2L1	Validated as ELISA	Rabbit	CST	2762	0	
BCRYSTALLIN								
BECLIN	Beclin	BECN1	Use with Caution	Goat	Santa Cruz	sc-10086	0	
BETACATENIN	beta-Catenin	CTNNB1	Validated as ELISA	Rabbit	CST	9562	0	
BETACATENIN_pS33	BETACATENIN_pS33	CTNNB1	Use with Caution	Rabbit	CST	9561		pS33	-1		"S33 mutations of beta-catenin interfere with GSK3 phosphorylation and result in stabilization and nuclear localization of the protein and enhanced WNT signaling (Groen et al|2008; Nhieu et al|1999; Clements et al|2002; reviewed in Polakis|2000). S33 mutations have been identified in cancers of the central nervous system|liver|endometrium and stomach|among others (reviewed in Polakis|2000)." - http://www.reactome.org/content/detail/R-HSA-5358747
BETACATENIN_pS33S37T41	BETACATENIN_pS33S37T41	CTNNB1	Use with Caution	Rabbit	CST	9561		pS33S37T41	-1		"S33 mutations of beta-catenin interfere with GSK3 phosphorylation and result in stabilization and nuclear localization of the protein and enhanced WNT signaling (Groen et al|2008; Nhieu et al|1999; Clements et al|2002; reviewed in Polakis|2000). S33 mutations have been identified in cancers of the central nervous system|liver|endometrium and stomach|among others (reviewed in Polakis|2000)." - http://www.reactome.org/content/detail/R-HSA-5358747
BID	Bid	BID	Use with Caution	Rabbit	Abcam	ab32060	0	
BIM	Bim	BCL2L11	Validated as ELISA	Rabbit	Abcam	ab32158	0	
BLIMP1								
BLNK								
BLNK_pY84								pY84	1		"Following BCR activation|phosphorylated on tyrosine residues by SYK and LYN. When phosphorylated|serves as a scaffold to assemble downstream targets of antigen activation|including PLCG1|VAV1|GRB2 and NCK1. Phosphorylation of Tyr-84|Tyr-178 and Tyr-189 facilitates PLCG1 binding. Phosphorylation of Tyr-96 facilitates BTK binding. Phosphorylation of Tyr-72 facilitates VAV1 and NCK1 binding. Phosphorylation is required for both Ca(2+) and MAPK signaling pathways." - http://www.abcam.com/blnk-phospho-y84-antibody-ab79320.html
BLNK_pY96								pY96	1		"Following BCR activation|phosphorylated on tyrosine residues by SYK and LYN. When phosphorylated|serves as a scaffold to assemble downstream targets of antigen activation|including PLCG1|VAV1|GRB2 and NCK1. Phosphorylation of Tyr-84|Tyr-178 and Tyr-189 facilitates PLCG1 binding. Phosphorylation of Tyr-96 facilitates BTK binding. Phosphorylation of Tyr-72 facilitates VAV1 and NCK1 binding. Phosphorylation is required for both Ca(2+) and MAPK signaling pathways." - http://www.abcam.com/blnk-phospho-y84-antibody-ab79320.html
BRAF								
BRAF_pS445	B-Raf_pS445	BRAF	Validated as ELISA	Rabbit	CST	2696		pS445	-1
BRCA1	BRCA1	BRCA1	Use with Caution	Rabbit	Millipore	07-434		
BRCA2	BRCA2	BRCA2	Use with Caution	Rabbit	CST	9012		
BRD4	BRD4	BRD4	Validated as ELISA	Rabbit	CST	13440		
BRN2	BRN2	POU3F2	Use with Caution	N/A	in-house	N/A		
